id;name;host_id;host_name;neighbourhood;room_type;price;minimum_nights;last_review
1775452;Sunny room in charming neighborhood;9323451;Oana;el Camp de l'Arpa del Clot;Private room;30;1;24/10/2018
1775920;Barcelona, penthouse with terrace;9325312;Luís & Silvia;la Vila de Gràcia;Entire home/apt;155;3;17/10/2018
1776811;Double room (penthouse Pl.Espanya);5057797;Gerard;la Font de la Guatlla;Private room;40;3;22/06/2018
1783526;FABULOUS HOUSE WITH UNIQUE VIEWS;9361937;Patricia;Vallvidrera, el Tibidabo i les Planes;Entire home/apt;200;3;15/10/2018
1785131;COSY URBAN RETREAT (CENTRE);2411278;Anna & Marcos;el Poble Sec;Entire home/apt;75;4;25/10/2018
1785444;doble and private room i flat very ;771458;Rita;el Raval;Private room;35;3;24/10/2018
1787830;Sunny room near the sea, Fort Pienc;9381979;Brenda Rita;el Fort Pienc;Private room;20;2;02/11/2018
1790446;SEALONA BEACH LOFT II ;1716315;Marc;el Poblenou;Entire home/apt;85;3;04/03/2017
1792091;Cozy room with breakfast in a charming apartment!;502278;Nicoletta;el Poble Sec;Private room;25;1;09/10/2018
1800198;Luxury for 6 at Passeig de Gràcia.;674212;Juanmi;la Dreta de l'Eixample;Entire home/apt;300;2;24/10/2018
1806167;Centric Apartment,close the Ramblas;206635;Miriam;el Poble Sec;Entire home/apt;151;3;04/11/2018
1808321;Luxury apartment in Barcelona center;9477063;Xavier;Sant Antoni;Entire home/apt;146;5;23/10/2018
1808631;Elegant apartment in Gotico (B);9478280;Pia HankÃƒÂ¶;el Barri Gòtic;Entire home/apt;185;3;04/05/2018
1808891;Apartment with 2 suites - Gothic;9478280;Pia HankÃƒÂ¶;el Barri Gòtic;Entire home/apt;180;3;28/08/2017
1809593;COZY APT NEXT TO RAMBLA POBLENOU;9465372;Joan;el Poblenou;Entire home/apt;90;2;26/10/2018
1810923;APARTMENT SEA VIEWS IN BARCELONA;1298586;Kristjan Y Ana;la Vila Olímpica del Poblenou;Entire home/apt;140;2;21/10/2018
1811002;AP. ESTIL. MODERNISTA/ HAB. PRIVADA;9481676;Susana;l'Antiga Esquerra de l'Eixample;Private room;80;2;05/04/2018
1814248;Diagonal Mar 2 balcon, Wi-Fi free parking.;9503026;ÃÂ¢ÃÂ°tiana;el Besòs i el Maresme;Entire home/apt;35;1;06/11/2018
1814378;Apartment with terrace near to Sagrada Familia;3376710;Maria StayBarcelona;la Sagrada Família;Entire home/apt;135;2;09/09/2018
1817640;Great sunny space to chill / Gracia;9518808;Jonas & Marc;la Vila de Gràcia;Entire home/apt;75;32;02/10/2018
1819306;Single room / nice & sunny flat;9526689;Angelo;el Fort Pienc;Private room;25;1;
1821064;Center Barcelona, Sants. Strategic;9534151;Jaume;Sants;Entire home/apt;80;2;12/07/2018
1821184;Cozy and sunny room in Gracia;1688452;Sofia;la Salut;Private room;20;1;19/09/2018
1822149;Nice & Quite room Raval Boquería center;9539548;Sonia;el Raval;Private room;46;2;25/10/2018
1823574;6 BED PRIVATE ROOM-LUXURY HOSTEL;9456665;Hip Karma;la Dreta de l'Eixample;Private room;186;3;
1823712;5 BED PRIVATE ROOM-LUXURY HOSTEL;9456665;Hip Karma;la Dreta de l'Eixample;Private room;150;3;12/02/2017
1823916;8 BED PRIVATE ROOM-LUXURY HOSTEL;9456665;Hip Karma;la Dreta de l'Eixample;Private room;224;2;21/05/2018
1823947;5-rooms apartment / super location, Camp Nou;9547606;Miyya;Sants - Badal;Shared room;9;2;17/09/2018
1823987;12 BED PRIVATE ROOM-LUXURY HOSTEL;9456665;Hip Karma;la Dreta de l'Eixample;Private room;300;3;22/01/2017
1825397;ApartsNouBcn Les Corts 6 Ã¢â‚¬â€œ 14 people.;9548670;Nougava,S.A.U;les Corts;Entire home/apt;200;2;07/10/2018
1825621;Apartment next to Universitat;3376710;Maria StayBarcelona;l'Antiga Esquerra de l'Eixample;Entire home/apt;145;2;19/09/2018
1826858;Beautiful apartment in the center;9559117;Ana;l'Antiga Esquerra de l'Eixample;Entire home/apt;80;3;02/11/2018
1830012;Explore Old Barcelona from a Loft-Style Studio;5317410;Raimundo;Sant Pere, Santa Caterina i la Ribera;Entire home/apt;105;5;30/10/2018
1830227;Cosy Apartment in Sarrià old town - with roof top;2679993;Oliver;Sarrià;Entire home/apt;84;3;02/11/2018
1830917;Picasso Suites 4.2 Paseo de Gracia;131794;Damien;la Dreta de l'Eixample;Entire home/apt;169;1;24/10/2018
1831778;Picasso Suites 2.2 Paseo de Gracia;131794;Damien;la Dreta de l'Eixample;Entire home/apt;259;2;18/10/2018
1834026;PERFECT STUDI IN SANTS STREET (HUTB-008424Ã¢â‚¬Â);9590271;Marta;Sants;Entire home/apt;75;5;22/10/2018
1839281;Lilac House;10911051;Pool Houses Barcelona;la Marina del Prat Vermell;Entire home/apt;250;3;16/09/2018
1839552;Picasso Suites 2.3 Paseo de Gracia ;131794;Damien;la Dreta de l'Eixample;Entire home/apt;259;1;21/10/2018
1839612;Flat Central BCN - Sagrada Familia;9588826;Marta;el Fort Pienc;Entire home/apt;90;7;27/10/2018
1839651;Clean, sunny apartment for 4 next to Camp Nou;9547606;Miyya;la Maternitat i Sant Ramon;Entire home/apt;46;1;03/11/2018
1840475;POP ART APARTMENT FAMILIES &GROUPS;3937003;Pedro;la Sagrada Família;Entire home/apt;80;1;04/11/2018
1843084;Sunny penthouse w/terrace BIG GROUP;1369675;Javier;la Vila de Gràcia;Entire home/apt;400;2;29/10/2018
1847236;Sea,warm place,swimming pool,center;9649482;Péter;el Poble Sec;Private room;29;2;04/11/2018
1847411;Lodge in Barcelona Pueblo Seco;9650338;Pedro;el Poble Sec;Private room;36;2;22/10/2018
1851080;Paseo de Gracia, La Pedrera;8157090;Jose;la Dreta de l'Eixample;Entire home/apt;125;2;28/10/2018
1851161;DOUBLE ROOM IN GOTHIC NEIGHBORHOOD;6524683;Flor;el Barri Gòtic;Private room;38;2;04/11/2018
1853214;Apartment 200 m from  beach and 200 m from metro!;9675772;Eduardo;el Poblenou;Entire home/apt;99;1;02/11/2018
1856380;Convenient doub room nr Camp Nou;6942789;Carolina;Sants - Badal;Private room;30;2;15/10/2018
1858192;Spacious Paradise in Barcelona for your holidays;3744544;Marta+Paul;la Vila de Gràcia;Entire home/apt;144;3;23/08/2018
1862225;Modernist Apartment in the Center of Barcelona;9709530;Empar & Neus;la Dreta de l'Eixample;Entire home/apt;120;2;12/10/2018
1862971;MODERN FLAT NEAR RAMBLA AND PORT;1837053;Ayal;el Raval;Entire home/apt;70;31;16/08/2018
1864002;Penedès    HUTB-009320;400416;Cens Sl;la Vila de Gràcia;Entire home/apt;53;32;15/08/2017
1864019;Estudio bien situado con terraza ;8720687;Gabriela;Sants;Entire home/apt;50;32;15/07/2017
1864376;Cozy charming design appartment;9721827;Albert;el Barri Gòtic;Entire home/apt;250;3;24/10/2018
1867951;SAGRADA FAMILIA VIEW STUDIO-LOFT;9737137;Marta;la Sagrada Família;Entire home/apt;99;2;27/10/2018
1868652;Barcelona Sants -Wifi free-parking;9740673;Francisco Javier;la Bordeta;Entire home/apt;106;2;05/11/2018
1881296;In the very heart of Barcelona;9794218;Inma;el Barri Gòtic;Private room;55;3;15/10/2018
1882669;CITY BEACH  cerca Centro y playas;9799898;Carlos;la Vila Olímpica del Poblenou;Entire home/apt;110;3;18/06/2018
1882719;Renovated Vintage High-Rise with Balcony;9800084;Nu;la Dreta de l'Eixample;Entire home/apt;195;1;31/10/2018
1882976;CITY CENTER a pie todo el Centro;9799898;Carlos;el Raval;Entire home/apt;45;31;06/10/2018
1885947;My house is your house.. harmony,respect,goodvibes;4374289;Ash And Nanni;el Camp de l'Arpa del Clot;Private room;59;2;24/10/2018
